"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";1,05265290822826;1,04946841571461;1,12060743616747;1,10333561968556;1,11838956451159;1,10817210855922;1,1409064855831;1,14057405928273;1,12543808705286;1,12206260091748;1,16141475340544;1,1981015021863;1,1989101213874;1,24301229620922;1,24378082934421;1,23843511295113;1,30020399269489;1,29064711313559;1,25452062128104
"2";1,10074215127768;1,09965264076814;1,1080251906007;1,0983229740276;1,11018415066041;1,11621346956619;1,12682710879404;1,15407428232263;1,14218731056018;1,13188911568503;1,14454930121207;1,13466104488767;1,15343325216768;1,16543121358867;1,17293490071376;1,19073521960003;1,19195641734747;1,21918958585438;1,22882649045499
"3";1,1354128492522;1,13541971646059;1,1390956926421;1,14283130747887;1,14320138186254;1,13849501871713;1,1296779282869;1,15609173236445;1,16565749209021;1,14798186127002;1,14945901533863;1,13575563549053;1,1533099678318;1,15519748224509;1,15728585661528;1,16977264710696;1,18991466005916;1,17230904390686;1,16904496048747
"4";1,11033784522484;1,11049200035491;1,11707876014768;1,12577433388065;1,13453852822064;1,12611707316057;1,13075780168248;1,1377221342086;1,15063932918151;1,14699208348127;1,14249709775093;1,15016209357969;1,15116887412608;1,15775097801825;1,16384393733184;1,15934325657599;1,16660496862703;1,16799331934155;1,15895575077367
"5";1,02523062425466;1,02523277256766;1,04468398616111;1,06729148270138;1,08472500836105;1,09723924396239;1,1150549437338;1,10387744982723;1,12081791059002;1,13373283660948;1,13216660653965;1,14271414434995;1,13924437845167;1,11290892237855;1,1324354067402;1,13204519856587;1,14523015330209;1,16816118705777;1,17044872246025
"6";1,02583792840567;1,02572178337104;1,02816934015918;1,0423403361073;1,05395387966277;1,06749446544174;1,08020349407593;1,09431152629464;1,10268030646583;1,09217789786299;1,07576580240189;1,08854749386988;1,08218528920834;1,10309153777259;1,1150707367483;1,11857510324152;1,12159767889905;1,13496203529195;1,1454745659636
"7";0,9165601427602;0,916396444233851;0,946987680271898;0,947574738257598;0,970389044363967;0,991823235688827;1,00246977561332;1,03027791545447;1,04390643295436;1,03533595699475;1,03825702504743;1,03776191061351;1,06110919233376;1,07064995507565;1,09393760988606;1,10963307358836;1,10034582730698;1,09830649664551;1,11496770703095
"8";1,06352497750981;1,06339712382991;1,04787480503937;1,03618414723819;1,01403520196227;1,01792962952371;1,01651017271481;1,03128838582867;1,03131668344992;1,06211799057298;1,06309079911688;1,05757640687224;1,06731197686992;1,05888315361391;1,07692584485981;1,08633483950839;1,09256652878382;1,11802473624677;1,12290119119376
"9";1,02695319003963;1,02689576569243;1,02864387317904;1,03073611597256;1,03489918910652;1,03683955796562;1,03470410660421;1,03410172803793;1,03602636353368;1,0490232184461;1,05746863261094;1,0747095465051;1,07230134665682;1,07343827229401;1,07492933913256;1,0715681510838;1,08170579254239;1,0934366411544;1,10039782866649
"10";1,06436645706871;1,06419969433225;1,04704667781686;1,04394358770823;1,04953896590029;1,03712988656144;1,03867882689271;1,02481333983313;1,02994947313475;1,00716316648194;1,01887358052313;1,02578454071778;1,03007832799487;1,03921960638537;1,0326969240423;1,04255314852308;1,04777379992344;1,0566077465517;1,05927152097131
"11";1,02807087927387;1,02793438967947;1,0290105632557;1,01868772433933;1,01943556341889;1,02830065246972;1,01323525678186;1,01329135025796;1,02004262580675;1,02665687686411;1,04190746693592;1,03710534972606;1,04135080481366;1,04765720406721;1,05059302628672;1,05771778963917;1,04434057569725;1,02980432090778;1,03134304730466
"12";1,07745305397294;1,07731990226637;1,0539363014725;1,0302098149922;1,02109733538987;1,02414315206615;1,0000436614706;1,00779355432814;1,00915040246878;1,02145376547271;1,03066803039771;1,03626241917002;1,04764639279164;1,05876125773855;1,05016849849807;1,05299010652622;1,03325567512927;1,04820431478506;1,05751993239483
"13";1,0531739719389;1,05309164194084;1,05431371199488;1,03279719480142;1,02392346360194;1,01461546360988;1,02072366290348;1,02183467850297;1,0241845273975;1,02064114364026;1,02433224919012;1,02530405678993;1,01231810835213;1,00898926665247;1,01841160025293;1,03049622817829;1,04261090746504;1,02207622747757;1,02857572328614
"14";1,10117765756899;1,10136442780115;1,0886859355984;1,09651424091341;1,08395049161464;1,055791505336;1,06507941076167;1,04790326439491;1,04324395767176;1,04553445339199;1,04165832684735;1,03313115317398;1,03396449506949;1,04065869027989;1,03757036331336;1,02161166034932;1,0280467793805;1,04176768091379;1,04257107432751
"15";1,11253262254293;1,11280396821694;1,11597766923059;1,11321162477966;1,10466697529937;1,08882062618964;1,09310821089102;1,08563975091808;1,05690326476101;1,04700279248783;1,04520182428006;1,03302826268175;1,03584713691675;1,03802404999068;1,04450302956827;1,01020516498301;1,01503866564992;1,02539014508274;1,0192609543369
